cluster,gene_id,score,logfoldchange,pval,pval_adj,pct_expressed,gene_name_clean,is_significant,is_labeled
0,g41690_GPR56_3,7.7480946,8.246187,9.328166695453014e-15,4.313320738862785e-13,0.1111111111111111,GPR56,True,True
0,g1946_SORL1_2,7.747118,2.0064743,9.400169972766645e-15,4.3329462723526255e-13,0.13333333333333333,SORL1,True,True
0,g18520_FLRT2,7.689331,4.0531354,1.4790637206585567e-14,6.650342336629793e-13,0.2,FLRT2,True,True
0,g28747_CHMP1A,7.501934,2.3923647,6.288308525375814e-14,2.679477510609264e-12,0.2111111111111111,CHMP1A,True,True
0,g12422_TMPRSS11A,7.4764657,4.210176,7.634797002769246e-14,3.243792883089612e-12,0.37777777777777777,TMPRSS11A,True,True
0,g17281_MAPK6,7.4352493,2.0422933,1.0437083434545837e-13,4.3462150279424115e-12,0.1111111111111111,MAPK6,True,True
0,g7283_FOXA2,7.357288,2.6402605,1.8768457527102656e-13,7.491215463654448e-12,0.12222222222222222,FOXA2,True,True
0,g7226_TMPRSS9_5,7.330385,4.651816,2.294924724060943e-13,8.970401761409414e-12,0.45555555555555555,TMPRSS9,True,True
0,g6017_SH2D4A,7.290545,2.8700354,3.0870399108371635e-13,1.1876596066417622e-11,0.1111111111111111,SH2D4A,True,True
0,g15794_SALL1,7.1691136,1.7147787,7.548496720922245e-13,2.8082706836365044e-11,0.6777777777777778,SALL1,True,True
0,g25113_NRG1,7.11323,2.198334,1.1335804354489634e-12,4.1540055057027265e-11,0.6888888888888889,NRG1,True,True
0,g15782_VANGL1,7.054576,2.047191,1.731276221035675e-12,6.265937493318747e-11,0.2777777777777778,VANGL1,True,True
0,g2155_HMCN2_1,7.019316,2.8462367,2.229564594460488e-12,7.893951165604308e-11,0.6111111111111112,HMCN2,True,True
0,g15851_OVCH1_6,6.984563,4.0917907,2.8574409348596905e-12,9.94878128816469e-11,0.4,OVCH1,True,True
0,g13943_BIRC2_64,6.9792695,2.178718,2.967188443408376e-12,1.0257794387613203e-10,0.2,BIRC2,True,True
0,g26158_TCF7L2_2,6.9730616,1.924442,3.1011651511221535e-12,1.0670628822804818e-10,0.2,TCF7L2,True,True
0,g17910_FRMD6_2,6.954545,1.4686148,3.5370146577116747e-12,1.2113448797368628e-10,0.13333333333333333,FRMD6,True,True
0,g2156_HMCN1_2,6.941557,3.9828615,3.878021219940634e-12,1.3188871239417591e-10,0.23333333333333334,HMCN1,True,True
0,g36037_RIPK4,6.918418,4.5382934,4.567153755291465e-12,1.542519348964569e-10,0.43333333333333335,RIPK4,True,True
0,g25651_NLRP10,6.902387,2.1035974,5.113583334636746e-12,1.7191491862180142e-10,0.15555555555555556,NLRP10,True,True
0,g20583_ADAMTS6,6.8021235,1.899897,1.0308818349191656e-11,3.418702700507948e-10,0.28888888888888886,ADAMTS6,True,True
0,g8029_PKD1,6.769408,1.8305062,1.29310113518996e-11,4.2308652766996506e-10,0.3111111111111111,PKD1,True,True
0,g14658_MOV10_8,6.7611837,4.1853194,1.3686892368689548e-11,4.448391759207348e-10,0.28888888888888886,MOV10,True,True
0,g33402_TNFRSF14_1,6.7139163,1.9403433,1.894692075629827e-11,6.0904378167943e-10,0.17777777777777778,TNFRSF14,True,True
0,g8514_SPECC1,6.6898904,1.6895298,2.2333813695017946e-11,7.132223118552789e-10,0.15555555555555556,SPECC1,True,True
0,g37967_UBE2D2_5,6.674779,2.7019083,2.4760499448832046e-11,7.83886395077711e-10,0.25555555555555554,UBE2D2,True,True
0,g23884_SLCO2A1_1,6.6587806,4.25482,2.7610847001290925e-11,8.70365151279403e-10,0.6444444444444445,SLCO2A1,True,True
0,g1268_FREM2_2,6.6293926,1.897381,3.3707045724950097e-11,1.0423583886842164e-09,0.4888888888888889,FREM2,True,True
0,g15720_CYP4V2_4,6.628172,2.2311366,3.398693416774851e-11,1.0488010126965423e-09,0.5888888888888889,CYP4V2,True,True
0,g35254_TMEM26_13,6.6138535,5.255263,3.744424665999244e-11,1.1482380074103957e-09,0.14444444444444443,TMEM26,True,True
0,g5738_GAS2L1,6.57756,1.9425069,4.782304677822682e-11,1.4423667071507173e-09,0.23333333333333334,GAS2L1,True,True
0,g19817_EFEMP2,6.5221334,2.6553426,6.93142611788656e-11,2.0525423037571957e-09,0.4444444444444444,EFEMP2,True,True
0,g13646_PANK2,6.51912,2.2520173,7.07209306271271e-11,2.0899745990573166e-09,0.13333333333333333,PANK2,True,True
0,g1096_NLRP12_4,6.5006514,2.3875718,7.997295887936855e-11,2.3491856337751187e-09,0.4222222222222222,NLRP12,True,True
0,g12654_ETV1,6.331662,1.6279548,2.425343896639328e-10,6.713500701356934e-09,0.1111111111111111,ETV1,True,True
0,g15037_FBLN2_1,6.3253646,1.9202515,2.5263573618333387e-10,6.960779362735541e-09,0.34444444444444444,FBLN2,True,True
0,g15746_ets1,6.3072586,1.5941348,2.84020726343241e-10,7.78163702194248e-09,0.28888888888888886,ets1,True,True
